,INCIDENT_KEY,PERP_ID,PERP_AGE_GROUP,PERP_SEX,PERP_RACE
0,9953248,9953248-9042,18-24,Male,Black
1,10137418,10137418-9127,25-44,Male,Black
2,10137428,10137428-9147,Unknown,Unknown,Unknown
3,10187494,10187494-9181,Unknown,Male,Black
4,10187494,10187494-9195,Unknown,Male,Black
5,10187496,10187496-9184,18-24,Male,White Hispanic
6,10187501,10187501-9189,<18,Male,Black
7,10187502,10187502-9190,25-44,Male,Black
8,10187517,10187517-9212,25-44,Male,Black
9,10240242,10240242-9227,18-24,Male,White Hispanic
10,10240242,10240242-9230,18-24,Male,White Hispanic
11,10333320,10333320-9284,Unknown,Male,Black
12,10411015,10411015-9332,Unknown,Male,Black
13,10411018,10411018-9336,Unknown,Unknown,Unknown
14,10660756,10660756-9472,Unknown,Unknown,Unknown
15,10879209,10879209-9571,18-24,Male,White Hispanic
16,10879209,10879209-9572,25-44,Male,White Hispanic
17,10879209,10879209-9573,18-24,Male,Black
18,10953928,10953928-9626,Unknown,Unknown,Unknown
19,10953944,10953944-9697,18-24,Male,Black
20,11118200,11118200-9713,18-24,Male,Black
21,11118203,11118203-9718,25-44,Male,Black
22,11118222,11118222-9743,Unknown,Unknown,Unknown
23,11118232,11118232-9759,45-64,Male,Black
24,11118248,11118248-9781,Unknown,Unknown,Unknown
25,11118839,11118839-9666,<18,Male,Black
26,11118851,11118851-9684,Unknown,Unknown,Unknown
27,12679344,12679344-9790,Unknown,Unknown,Unknown
28,12679353,12679353-9800,Unknown,Male,Black
29,12835935,12835935-9811,25-44,Male,Black
30,15400535,15400535-9835,Unknown,Male,Black
31,15400535,15400535-9843,Unknown,Male,Black
32,15400536,15400536-9836,18-24,Male,Black
33,15400564,15400564-9885,18-24,Male,White Hispanic
34,16631426,16631426-9900,25-44,Female,Black
35,16631450,16631450-9934,25-44,Male,White Hispanic
36,16631457,16631457-9950,Unknown,Male,Unknown
37,16631470,16631470-9968,Unknown,Unknown,Unknown
38,16631475,16631475-9976,18-24,Male,White Hispanic
39,16631479,16631479-9982,Unknown,Male,Black
40,16631482,16631482-9986,18-24,Male,Black
41,16631493,16631493-10004,Unknown,Unknown,Unknown
42,16692685,16692685-10076,18-24,Male,Black
43,16814038,16814038-10164,Unknown,Unknown,Unknown
44,16814045,16814045-10174,18-24,Male,Black
45,16895010,16895010-10186,Unknown,Male,Black
46,16895048,16895048-10234,25-44,Male,White
47,23354055,23354055-10252,18-24,Male,White Hispanic
48,23354055,23354055-10264,18-24,Male,White Hispanic
49,23354070,23354070-10272,18-24,Male,Black
50,23354120,23354120-10353,Unknown,Male,Black
51,23354137,23354137-10379,18-24,Male,Black
52,23354143,23354143-10388,18-24,Male,Black
53,23354143,23354143-10395,18-24,Male,Black
54,23354143,23354143-10399,<18,Male,Black
55,23354143,23354143-10491,18-24,Male,Black
56,23354144,23354144-10389,Unknown,Male,Black
57,23444498,23444498-10467,Unknown,Male,Black
58,23444498,23444498-10474,Unknown,Male,Black
59,23444498,23444498-10475,Unknown,Male,Black
60,23471265,23471265-10487,18-24,Male,Black
61,23525523,23525523-10519,<18,Male,Black Hispanic
62,23525528,23525528-10525,Unknown,Unknown,Unknown
63,23722471,23722471-10654,Unknown,Male,Unknown
64,23822591,23822591-10726,18-24,Male,White Hispanic
65,23904203,23904203-24901,Unknown,Unknown,Unknown
66,23904206,23904206-10789,Unknown,Male,Black
67,23904206,23904206-10790,Unknown,Male,Black
68,23945312,23945312-10811,18-24,Male,Black
69,23999557,23999557-10843,Unknown,Male,Unknown
70,23999559,23999559-10846,Unknown,Male,Black
71,24050471,24050471-10872,Unknown,Male,Black
72,24103844,24103844-10923,Unknown,Male,Black
73,24103844,24103844-10981,Unknown,Male,Black Hispanic
74,24103854,24103854-10938,Unknown,Male,Black
75,24142871,24142871-10947,Unknown,Unknown,Unknown
76,24157443,24157443-10949,Unknown,Unknown,Unknown
77,24157459,24157459-10968,Unknown,Male,Black
