,INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
0,299453927,299453927-1,25-44,Male,Black,N
1,212336415,212336415-1,18-24,Male,Black,N
2,280768895,280768895-1,25-44,Male,Black,N
3,141824677,141824677-27687,25-44,Male,Black Hispanic,N
4,270079203,270079203-1,45-64,Male,Black,Y
5,138882700,138882700-26963,25-44,Male,Black,N
6,138882700,138882700-26964,45-64,Male,Black,N
7,289881880,289881880-1,25-44,Male,White Hispanic,N
8,305930898,305930898-1,25-44,Male,Black,N
9,138899428,138899428-26973,18-24,Male,Black,N
10,138899428,138899428-26974,18-24,Male,Black,N
11,139621460,139621460-27183,25-44,Male,Black,N
12,212640532,212640532-1,25-44,Male,Black,N
13,9953248,9953248-8163,18-24,Male,Black,N
14,10137418,10137418-8227,25-44,Male,Black,N
15,10137428,10137428-8239,45-64,Female,Black,N
16,10187494,10187494-8258,25-44,Male,Black,N
17,10187496,10187496-8260,25-44,Male,White Hispanic,N
18,10187501,10187501-8266,<18,Female,Black,N
19,10187502,10187502-8267,18-24,Male,Black,N
20,10187517,10187517-8285,18-24,Male,Black,N
21,10240242,10240242-8294,18-24,Male,White Hispanic,N
22,10333320,10333320-8333,18-24,Male,Black,N
23,10411015,10411015-8378,25-44,Male,Black,N
24,10411018,10411018-8381,18-24,Male,White Hispanic,N
25,10660756,10660756-8494,25-44,Male,Black,Y
26,10879209,10879209-8586,18-24,Male,Black,N
27,10953928,10953928-8628,18-24,Male,Black,N
28,10953928,10953928-8629,25-44,Male,Black,N
29,10953944,10953944-8647,<18,Male,Black,N
30,11118200,11118200-8696,25-44,Male,Black,Y
31,11118203,11118203-8702,25-44,Male,Black,N
32,11118222,11118222-8725,18-24,Male,White,Y
33,11118232,11118232-8736,25-44,Male,Black,Y
34,11118232,11118232-8737,45-64,Male,Black,N
35,11118248,11118248-8755,25-44,Male,Black,N
36,11118839,11118839-8661,25-44,Male,Black,N
37,11118851,11118851-8674,25-44,Male,Black,N
38,12679343,12679343-8759,25-44,Male,Black,N
39,12679344,12679344-8760,<18,Male,Black,N
40,12679353,12679353-8770,18-24,Male,Black,N
41,12679353,12679353-8771,18-24,Male,Black,N
