INCIDENT_KEY,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,OCCUR_DATETIME,PERP_ID,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
9953245,Bronx,Outside,48.0,0.0,Street,None,1013404.0,251800.0,2006-01-01 02:00:00,9953245-9037,18-24,Male,Black,9953245-8156,<18,Male,Black,N
9953246,Bronx,Outside,44.0,0.0,Street,None,1007446.0,243897.0,2006-01-01 05:51:00,9953246-9039,25-44,Male,White Hispanic,9953246-8158,18-24,Male,White Hispanic,N
9953247,Brooklyn,Outside,67.0,0.0,Street,Unknown,999316.0,176460.0,2006-01-01 03:30:00,9953247-9041,Unknown,Unknown,Unknown,9953247-8160,18-24,Male,Black,N
9953247,Brooklyn,Outside,67.0,0.0,Street,Unknown,999316.0,176460.0,2006-01-01 03:30:00,9953247-9041,Unknown,Unknown,Unknown,9953247-8161,18-24,Male,Black,N
9953247,Brooklyn,Outside,67.0,0.0,Street,Unknown,999316.0,176460.0,2006-01-01 03:30:00,9953247-9041,Unknown,Unknown,Unknown,9953247-8162,18-24,Male,Black,N
9953248,Queens,Outside,106.0,0.0,Street,None,1028607.0,187930.0,2006-01-01 19:00:00,9953248-9042,18-24,Male,Black,9953248-8163,18-24,Male,Black,N
9953249,Brooklyn,Outside,90.0,2.0,Housing,Multi Dwell - Public Hous,1000067.0,198310.0,2006-01-02 00:49:00,9953249-9043,Unknown,Unknown,Unknown,9953249-8164,25-44,Male,Black,Y
9953250,Queens,Outside,114.0,0.0,Commercial,Bar/Night Club,1002576.0,221583.0,2006-01-01 02:34:00,9953250-9044,25-44,Male,Black,9953250-8165,25-44,Male,Black,Y
9953250,Queens,Outside,114.0,0.0,Commercial,Bar/Night Club,1002576.0,221583.0,2006-01-01 02:34:00,9953250-9044,25-44,Male,Black,9953250-8166,25-44,Male,Black,Y
9953250,Queens,Outside,114.0,0.0,Commercial,Bar/Night Club,1002576.0,221583.0,2006-01-01 02:34:00,9953250-9196,18-24,Male,Black,9953250-8165,25-44,Male,Black,Y
9953250,Queens,Outside,114.0,0.0,Commercial,Bar/Night Club,1002576.0,221583.0,2006-01-01 02:34:00,9953250-9196,18-24,Male,Black,9953250-8166,25-44,Male,Black,Y
9953252,Manhattan,Outside,28.0,0.0,Street,None,998811.0,233547.0,2006-01-01 02:22:00,9953252-9046,25-44,Male,Black,9953252-8168,25-44,Male,Black,Y
9953252,Manhattan,Outside,28.0,0.0,Street,None,998811.0,233547.0,2006-01-01 02:22:00,9953252-9051,25-44,Male,Black,9953252-8168,25-44,Male,Black,Y
9953255,Brooklyn,Inside,70.0,0.0,Commercial,Bar/Night Club,996544.0,175090.0,2006-01-02 03:59:00,9953255-9049,18-24,Male,Black,9953255-8171,18-24,Male,Black,N
9953255,Brooklyn,Inside,70.0,0.0,Commercial,Bar/Night Club,996544.0,175090.0,2006-01-02 03:59:00,9953255-9049,18-24,Male,Black,9953255-8172,25-44,Male,Black Hispanic,N
9953255,Brooklyn,Inside,70.0,0.0,Commercial,Bar/Night Club,996544.0,175090.0,2006-01-02 03:59:00,9953255-9066,18-24,Male,Black,9953255-8171,18-24,Male,Black,N
9953255,Brooklyn,Inside,70.0,0.0,Commercial,Bar/Night Club,996544.0,175090.0,2006-01-02 03:59:00,9953255-9066,18-24,Male,Black,9953255-8172,25-44,Male,Black Hispanic,N
9953257,Staten Island,Outside,120.0,0.0,Dwelling,Multi Dwell - Apt Build,963024.0,171638.0,2006-01-02 10:53:00,9953257-9053,18-24,Male,Black,9953257-8177,18-24,Male,Black,N
9953258,Queens,Outside,106.0,0.0,Street,None,1028607.0,187930.0,2006-01-03 01:48:00,9953258-9054,Unknown,Male,Black,9953258-8178,25-44,Male,Black,N
9953259,Brooklyn,Outside,73.0,0.0,Street,None,1007379.0,185230.0,2006-01-03 01:57:00,9953259-9055,Unknown,Unknown,Unknown,9953259-8179,25-44,Male,Black,N
9953261,Queens,Inside,109.0,0.0,Dwelling,Pvt House,1026687.0,224835.0,2006-01-03 13:54:00,9953261-9058,25-44,Male,White Hispanic,9953261-8181,25-44,Male,White,N
10038624,Queens,Outside,105.0,0.0,Street,Bar/Night Club,1057738.0,204079.0,2006-01-04 03:34:00,10038624-9060,Unknown,Male,Black,10038624-8183,25-44,Male,Black,N
10038625,Brooklyn,Inside,73.0,0.0,Commercial,Clothing Boutique,1009232.0,182837.0,2006-01-03 16:25:00,10038625-9061,18-24,Male,Black Hispanic,10038625-8184,25-44,Male,Black,Y
10038627,Brooklyn,Outside,79.0,2.0,Housing,Multi Dwell - Public Hous,997758.0,193359.0,2006-01-04 05:11:00,10038627-9064,Unknown,Male,Unknown,10038627-8187,18-24,Male,Black,N
10038629,Queens,Inside,114.0,0.0,Commercial,Grocery/Bodega,1007122.0,221173.0,2006-01-04 23:00:00,10038629-9068,Unknown,Male,White Hispanic,10038629-8189,45-64,Male,Asian / Pacific Islander,N
10038629,Queens,Inside,114.0,0.0,Commercial,Grocery/Bodega,1007122.0,221173.0,2006-01-04 23:00:00,10038629-9069,Unknown,Male,White Hispanic,10038629-8189,45-64,Male,Asian / Pacific Islander,N
10038630,Bronx,Inside,42.0,0.0,Commercial,Fast Food,1010158.0,242490.0,2006-01-04 19:17:00,10038630-9070,Unknown,Male,Black,10038630-8190,25-44,Male,Black,N
10038630,Bronx,Inside,42.0,0.0,Commercial,Fast Food,1010158.0,242490.0,2006-01-04 19:17:00,10038630-9071,Unknown,Male,Black,10038630-8190,25-44,Male,Black,N
10038631,Bronx,Outside,52.0,0.0,Street,Unknown,1012694.0,254135.0,2006-01-05 15:06:00,10038631-9072,18-24,Male,White Hispanic,10038631-8191,18-24,Male,White Hispanic,N
10038632,Bronx,Outside,41.0,0.0,Street,None,1011606.0,236141.0,2006-01-05 19:12:00,10038632-9073,25-44,Male,White Hispanic,10038632-8192,18-24,Male,White Hispanic,N
10038633,Brooklyn,Inside,81.0,0.0,Commercial,Grocery/Bodega,1006211.0,189584.0,2006-01-05 19:25:00,10038633-9074,45-64,Male,Black,10038633-8193,18-24,Male,White Hispanic,N
10038634,Brooklyn,Outside,83.0,0.0,Street,Unknown,1008352.0,189038.0,2006-01-05 22:02:00,10038634-9075,Unknown,Male,Unknown,10038634-8194,18-24,Male,Black,N
10038634,Brooklyn,Outside,83.0,0.0,Street,Unknown,1008352.0,189038.0,2006-01-05 22:02:00,10038634-9079,Unknown,Male,Unknown,10038634-8194,18-24,Male,Black,N
10038635,Bronx,Inside,52.0,0.0,Dwelling,Unknown,1015037.0,255619.0,2006-01-06 03:30:00,10038635-9094,Unknown,Male,Black,10038635-8195,25-44,Male,Black Hispanic,N
10038635,Bronx,Inside,52.0,0.0,Dwelling,Unknown,1015037.0,255619.0,2006-01-06 03:30:00,10038635-9095,Unknown,Male,Black,10038635-8195,25-44,Male,Black Hispanic,N
10038637,Bronx,Outside,44.0,0.0,Street,None,1007236.0,241769.0,2006-01-06 05:28:00,10038637-9078,18-24,Male,Black,10038637-8197,18-24,Male,Black,N
10038637,Bronx,Outside,44.0,0.0,Street,None,1007236.0,241769.0,2006-01-06 05:28:00,10038637-9096,18-24,Male,Black,10038637-8197,18-24,Male,Black,N
10038637,Bronx,Outside,44.0,0.0,Street,None,1007236.0,241769.0,2006-01-06 05:28:00,10038637-9097,25-44,Male,Black,10038637-8197,18-24,Male,Black,N
10038638,Queens,Inside,106.0,0.0,Dwelling,None,1028607.0,187930.0,2006-01-06 21:29:00,10038638-9080,25-44,Male,White,10038638-8198,25-44,Male,White,N
10038640,Queens,Outside,110.0,0.0,Street,Unknown,1019164.0,210169.0,2006-01-07 05:12:00,10038640-9083,Unknown,Unknown,Unknown,10038640-8201,25-44,Male,White Hispanic,N
10038641,Staten Island,Outside,120.0,0.0,Street,None,960915.0,171305.0,2006-01-08 00:35:00,10038641-9086,Unknown,Unknown,Unknown,10038641-8204,18-24,Male,Black,N
10038642,Brooklyn,Outside,67.0,0.0,Street,None,1003875.0,179582.0,2006-01-08 03:40:00,10038642-9087,18-24,Male,Black,10038642-8205,<18,Male,Black,N
10038643,Brooklyn,Outside,63.0,0.0,Street,Unknown,1004064.0,170700.0,2006-01-08 03:36:00,Unknown,Unknown,Unknown,Unknown,10038643-8207,18-24,Male,Black,Y
10038644,Queens,Inside,101.0,0.0,Dwelling,Unknown,1051959.0,160391.0,2006-01-08 17:35:00,10038644-9090,Unknown,Unknown,Unknown,10038644-8208,25-44,Male,Black,N
10038645,Brooklyn,Outside,69.0,0.0,Dwelling,Pvt House,1012421.0,173575.0,2006-01-07 19:29:00,10038645-9091,Unknown,Unknown,Unknown,10038645-8209,25-44,Male,Black,Y
10038647,Brooklyn,Outside,81.0,0.0,Street,None,1005863.0,189395.0,2006-01-09 15:20:00,10038647-9098,18-24,Male,Black,10038647-8211,25-44,Male,Black,N
10038648,Manhattan,Outside,23.0,2.0,Housing,Multi Dwell - Public Hous,1001212.0,229173.0,2006-01-09 18:26:00,10038648-9099,Unknown,Male,Unknown,10038648-8212,18-24,Male,Black,N
10038649,Bronx,Inside,42.0,0.0,Dwelling,Multi Dwell - Apt Build,1014449.0,241462.0,2006-01-09 21:56:00,10038649-9100,Unknown,Male,Unknown,10038649-8213,25-44,Male,Black,N
10038649,Bronx,Inside,42.0,0.0,Dwelling,Multi Dwell - Apt Build,1014449.0,241462.0,2006-01-09 21:56:00,10038649-9106,Unknown,Male,Unknown,10038649-8213,25-44,Male,Black,N
10038649,Bronx,Inside,42.0,0.0,Dwelling,Multi Dwell - Apt Build,1014449.0,241462.0,2006-01-09 21:56:00,10038649-9107,Unknown,Male,Unknown,10038649-8213,25-44,Male,Black,N
10137408,Bronx,Outside,47.0,0.0,Street,None,1025683.0,261869.0,2006-01-09 21:18:00,10137408-9101,18-24,Male,Black,10137408-8214,18-24,Male,Black,Y
10137408,Bronx,Outside,47.0,0.0,Street,None,1025683.0,261869.0,2006-01-09 21:18:00,10137408-9174,<18,Male,White Hispanic,10137408-8214,18-24,Male,Black,Y
10137410,Bronx,Outside,44.0,0.0,Street,None,1008190.0,246970.0,2006-01-09 10:30:00,10137410-9109,Unknown,Unknown,Unknown,10137410-8218,<18,Male,Black,N
10137411,Brooklyn,Outside,72.0,0.0,Street,None,982106.0,172074.0,2006-01-09 21:25:00,10137411-9110,<18,Male,Black,10137411-8219,25-44,Male,Asian / Pacific Islander,Y
10137411,Brooklyn,Outside,72.0,0.0,Street,None,982106.0,172074.0,2006-01-09 21:25:00,10137411-9257,18-24,Male,White,10137411-8219,25-44,Male,Asian / Pacific Islander,Y
10137411,Brooklyn,Outside,72.0,0.0,Street,None,982106.0,172074.0,2006-01-09 21:25:00,10137411-9258,18-24,Male,Asian / Pacific Islander,10137411-8219,25-44,Male,Asian / Pacific Islander,Y
10137412,Brooklyn,Inside,88.0,2.0,Housing,Multi Dwell - Public Hous,990006.0,192514.0,2006-01-10 16:56:00,10137412-9113,<18,Male,Black,10137412-8220,18-24,Male,White Hispanic,N
10137412,Brooklyn,Inside,88.0,2.0,Housing,Multi Dwell - Public Hous,990006.0,192514.0,2006-01-10 16:56:00,10137412-9114,18-24,Male,Black,10137412-8220,18-24,Male,White Hispanic,N
10137413,Bronx,Outside,48.0,0.0,Street,Unknown,1016293.0,250009.0,2006-01-10 09:49:00,10137413-9115,Unknown,Male,Black,10137413-8221,25-44,Male,Black Hispanic,N
10137414,Brooklyn,Outside,71.0,0.0,Street,Unknown,999148.0,179047.0,2006-01-10 22:15:00,10137414-9116,25-44,Male,Black,10137414-8222,18-24,Male,Black,N
10137414,Brooklyn,Outside,71.0,0.0,Street,Unknown,999148.0,179047.0,2006-01-10 22:15:00,10137414-9839,18-24,Male,Black,10137414-8222,18-24,Male,Black,N
10137416,Manhattan,Inside,10.0,2.0,Housing,Multi Dwell - Public Hous,984003.0,212390.0,2006-01-11 21:47:00,10137416-9124,Unknown,Male,White,10137416-8225,25-44,Male,White,N
10137417,Manhattan,Outside,32.0,2.0,Housing,Multi Dwell - Public Hous,998922.0,235604.0,2006-01-12 01:50:00,10137417-9126,18-24,Male,Black,10137417-8226,18-24,Male,Black,N
10137418,Brooklyn,Outside,67.0,0.0,Street,None,1005752.0,179585.0,2006-01-11 19:15:00,10137418-9127,25-44,Male,Black,10137418-8227,25-44,Male,Black,N
10137421,Brooklyn,Outside,73.0,0.0,Street,None,1008585.0,182712.0,2006-01-12 15:50:00,10137421-9137,<18,Male,Black,10137421-8231,45-64,Male,Black,N
10137422,Staten Island,Inside,120.0,0.0,Dwelling,Multi Dwell - Apt Build,940771.0,167798.0,2006-01-13 18:30:00,10137422-9140,Unknown,Male,White Hispanic,10137422-8233,25-44,Male,White Hispanic,N
10137422,Staten Island,Inside,120.0,0.0,Dwelling,Multi Dwell - Apt Build,940771.0,167798.0,2006-01-13 18:30:00,10137422-9141,Unknown,Male,Black,10137422-8233,25-44,Male,White Hispanic,N
10137423,Queens,Outside,111.0,0.0,Street,Unknown,1051476.0,212704.0,2006-01-13 18:27:00,10137423-9142,<18,Male,Black,10137423-8234,<18,Male,Black,N
10137424,Bronx,Outside,43.0,0.0,Street,Multi Dwell - Apt Build,1022696.0,243541.0,2006-01-13 19:20:00,10137424-9143,18-24,Male,Black,10137424-8235,18-24,Male,Black Hispanic,N
10137425,Brooklyn,Outside,75.0,0.0,Street,None,1013691.0,180293.0,2006-01-13 20:45:00,10137425-9144,Unknown,Male,Black,10137425-8236,25-44,Male,Black,N
10137425,Brooklyn,Outside,75.0,0.0,Street,None,1013691.0,180293.0,2006-01-13 20:45:00,10137425-9157,Unknown,Male,Black,10137425-8236,25-44,Male,Black,N
10137426,Brooklyn,Outside,77.0,0.0,Street,Unknown,1001483.0,183731.0,2006-01-13 20:50:00,10137426-9145,<18,Male,Black,10137426-8237,18-24,Male,Black,N
10137427,Bronx,Inside,50.0,0.0,Dwelling,Multi Dwell - Apt Build,1012754.0,259787.0,2006-01-14 01:09:00,10137427-9146,25-44,Male,Black,10137427-8238,25-44,Male,White Hispanic,Y
10137428,Manhattan,Outside,26.0,0.0,Street,Grocery/Bodega,997083.0,236928.0,2006-01-14 02:00:00,10137428-9147,Unknown,Unknown,Unknown,10137428-8239,45-64,Female,Black,N
10137429,Bronx,Outside,43.0,2.0,Housing,Multi Dwell - Public Hous,1017969.0,243672.0,2006-01-13 22:35:00,10137429-9148,25-44,Male,Black,10137429-8240,25-44,Male,Black,N
10137429,Bronx,Outside,43.0,2.0,Housing,Multi Dwell - Public Hous,1017969.0,243672.0,2006-01-13 22:35:00,10137429-9156,25-44,Male,Black,10137429-8240,25-44,Male,Black,N
