INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG,IS_FATAL,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,OCCUR_DATETIME
299453927,299453927-1,25-44,MALE,BLACK,N,0,BROOKLYN,OUTSIDE,73.0,0.0,COMMERCIAL,GROCERY/BODEGA,1009652.0,183399.0,40.670038,-73.908428,2025-01-14 21:20:00
212336415,212336415-1,18-24,MALE,BLACK,N,0,BRONX,OUTSIDE,43.0,0.0,STREET,Unknown,1027067.0,240816.0,40.827558,-73.845285,2020-04-24 02:53:00
280768895,280768895-1,25-44,MALE,BLACK,N,0,BRONX,OUTSIDE,48.0,0.0,STREET,Unknown,1014054.0,246246.0,40.842523,-73.892283,2024-01-18 21:00:00
141824677,141824677-27687,25-44,MALE,BLACK HISPANIC,N,0,BRONX,OUTSIDE,43.0,0.0,STREET,Unknown,1020224.0,241994.0,40.83081975,-73.87000636,2015-04-01 11:00:00
270079203,270079203-1,45-64,MALE,BLACK,Y,1,BRONX,INSIDE,47.0,0.0,COMMERCIAL,GROCERY/BODEGA,1023206.0,263661.0,40.890278,-73.859105,2023-06-19 12:03:00
138882700,138882700-26963,25-44,MALE,BLACK,N,0,BROOKLYN,INSIDE,81.0,0.0,COMMERCIAL,CLOTHING BOUTIQUE,1005870.0,186813.0,40.679411,-73.922053,2014-09-26 11:58:00
138882700,138882700-26964,45-64,MALE,BLACK,N,0,BROOKLYN,INSIDE,81.0,0.0,COMMERCIAL,CLOTHING BOUTIQUE,1005870.0,186813.0,40.679411,-73.922053,2014-09-26 11:58:00
289881880,289881880-1,25-44,MALE,WHITE HISPANIC,N,0,BROOKLYN,OUTSIDE,75.0,0.0,STREET,Unknown,1013000.0,183339.0,40.669862,-73.896359,2024-07-10 03:59:00
305930898,305930898-1,25-44,MALE,BLACK,N,0,BRONX,INSIDE,48.0,0.0,COMMERCIAL,GROCERY/BODEGA,1016874.0,245380.0,40.840135,-73.882097,2025-05-06 14:56:00
138899428,138899428-26973,18-24,MALE,BLACK,N,0,BROOKLYN,OUTSIDE,83.0,0.0,STREET,Unknown,1006892.0,190126.0,40.688501,-73.918355,2014-09-26 21:30:00
138899428,138899428-26974,18-24,MALE,BLACK,N,0,BROOKLYN,OUTSIDE,83.0,0.0,STREET,Unknown,1006892.0,190126.0,40.688501,-73.918355,2014-09-26 21:30:00
139621460,139621460-27183,25-44,MALE,BLACK,N,0,BROOKLYN,OUTSIDE,73.0,0.0,STREET,Unknown,1010753.0,179172.0,40.658425,-73.904476,2014-11-11 22:30:00
